employeeId,firstName,lastName,email,phone,hireDate,doublesEndorsement,chainExperience,isEligible
EMP001,John,Smith,john.smith@company.com,206-555-0123,2020-01-15,TRUE,FALSE,TRUE
EMP002,Mary,Johnson,mary.johnson@company.com,206-555-0124,2019-03-22,FALSE,TRUE,TRUE
EMP003,Robert,Williams,robert.williams@company.com,206-555-0125,2021-06-10,TRUE,TRUE,TRUE
EMP004,Patricia,Brown,patricia.brown@company.com,206-555-0126,2018-09-05,FALSE,FALSE,TRUE
EMP005,Michael,Davis,michael.davis@company.com,206-555-0127,2022-02-28,TRUE,FALSE,TRUE
EMP006,Linda,Miller,linda.miller@company.com,206-555-0128,2017-11-12,TRUE,TRUE,TRUE
EMP007,William,Wilson,william.wilson@company.com,206-555-0129,2020-07-19,FALSE,TRUE,TRUE
EMP008,Elizabeth,Moore,elizabeth.moore@company.com,206-555-0130,2019-12-03,TRUE,FALSE,TRUE
EMP009,David,Taylor,david.taylor@company.com,206-555-0131,2021-04-17,FALSE,FALSE,TRUE
EMP010,Barbara,Anderson,barbara.anderson@company.com,206-555-0132,2018-05-21,TRUE,TRUE,TRUE
